,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
13,136598613.0637709,0.0,184731893.77248785,0.0005401337489188976,135070190.47831333,0.0,19997042.883044243,0.0004216644801677042,94338185.77629063,0.0,1779400000.0,922.1631440580834
14,136598613.0637709,0.0,182459568.28777984,0.00012634029949046497,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,57.55713986360106
15,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14261651.781499248,0.0,103761833.29708245,0.0011269254911455597,1779400000.0,640.0941931302523
16,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,15566711.337079559,0.00010816169302900813,94338185.77629063,0.0,1779400000.0,145.07739727272156
17,136598613.0637709,0.0,229835663.58727086,0.004406415103614977,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,2178.7549841526306
18,136598613.0637709,0.0,194195295.15659562,0.0011389549568256913,135070190.47831333,0.0,14321398.082995472,2.438480842422682e-06,94338185.77629063,0.0,1779400000.0,537.7303005624125
19,136598613.0637709,0.0,187893554.7645861,0.0005496910030749253,135070190.47831333,0.0,34557622.55098145,0.0007141788144377306,94338185.77629063,0.0,1779400000.0,1465.066415468577
20,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,22192523.358189344,0.00039304132705138544,94338185.77629063,0.0,1779400000.0,596.664629001069
21,136598613.0637709,0.0,300813014.3841556,0.010571017991798375,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,5448.0427576178245
22,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,15038343.042449502,3.5164989495004255e-05,94338185.77629063,0.0,1779400000.0,41.210692786982065
23,136598613.0637709,0.0,186555017.1686688,0.0008372623772476223,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,395.1399970380085
24,136598613.0637709,0.0,194357825.94456434,0.0011282136710510928,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,532.4973922215826
25,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,16891440.78834642,0.00011059383203172386,94338185.77629063,0.0,1779400000.0,146.5502281175483
26,136598613.0637709,0.0,203102768.60479003,0.0024764647560363492,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,1192.007319768143
27,136598613.0637709,0.0,208421145.14076138,0.002490936414797783,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,1194.487836505526
28,136598613.0637709,0.0,184680305.62979236,0.00027228324072761504,135070190.47831333,0.0,15699310.669709798,5.989573901158834e-05,94338185.77629063,0.0,1779400000.0,205.88757594854374
29,136598613.0637709,0.0,189361193.63884705,0.0010972679170824454,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,527.1931308417646
30,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,0.0
31,136598613.0637709,0.0,185014494.49965176,0.0005857854412051368,135070190.47831333,0.0,25407008.368461438,0.0008032828466090309,94338185.77629063,0.0,1779400000.0,1575.469448233087
32,136598613.0637709,0.0,190388822.4763086,0.0014439826943523576,135070190.47831333,0.0,14261651.781499248,0.0,100057472.45073643,0.000762240712023465,1779400000.0,1125.8842940365791
33,136598613.0637709,0.0,181758401.9417821,2.5429337413041687e-05,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,11.544058119480923
34,136598613.0637709,0.0,183136929.62640062,0.00027045389622925393,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,124.7920312567928
35,136598613.0637709,0.0,183489938.1946196,0.0002735752356468421,135070190.47831333,0.0,17106529.135300867,0.0001865480159733396,94338185.77629063,0.0,1779400000.0,389.22119748230455
36,136598613.0637709,0.0,182458052.66405174,0.00012592621259205895,135070190.47831333,0.0,15561524.59319102,8.794841746904422e-05,94338185.77629063,0.0,1779400000.0,176.40768301445416
37,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,0.0
